id,taxonID,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,taxonRemarks,language
https://www.gbif.org/species/7192847,https://www.gbif.org/species/7192847,Lafresnaya lafresnayi lafresnayi,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Lafresnaya,lafresnayi,lafresnayi,Subespecie,,subespecie con distribución en la cordillera oriental en Colombia,es
https://www.gbif.org/species/2486353,https://www.gbif.org/species/2486353,Laniocera rufescens,Animalia,Chordata,Aves,Passeriformes,Tityridae,Laniocera,rufescens,,Especie,"(P.L.Sclater, 1858)",,es
https://www.gbif.org/species/2481134,https://www.gbif.org/species/2481134,Larus delawarensis,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,delawarensis,,Especie,"Ord, 1815",,es
https://www.gbif.org/species/2474599,https://www.gbif.org/species/2474599,Laterallus albigularis,Animalia,Chordata,Aves,Gruiformes,Rallidae,Laterallus,albigularis,,Especie,"(Lawrence, 1861)",,es
https://www.gbif.org/species/2482940,https://www.gbif.org/species/2482940,Legatus leucophaius,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Legatus,leucophaius,,Especie,"(Vieillot, 1818)",,es
https://www.gbif.org/species/7415507,https://www.gbif.org/species/7415507,Leiothlypis peregrina,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,peregrina,,Especie,"(A.Wilson, 1811)",,es
https://www.gbif.org/species/2486011,https://www.gbif.org/species/2486011,Lepidocolaptes lacrymiger,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Lepidocolaptes,lacrymiger,,Especie,"(Des Murs, 1849)",,es
https://www.gbif.org/species/2486044,https://www.gbif.org/species/2486044,Lepidocolaptes souleyetii,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Lepidocolaptes,souleyetii,,Especie,"(Des Murs, 1849)",,es
https://www.gbif.org/species/6171281,https://www.gbif.org/species/6171281,Lepidocolaptes souleyetii lineaticeps,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Lepidocolaptes,souleyetii,lineaticeps,Subespecie,"(Lafresnaye, 1850)",subespecie con distribución en la cordillera oriental en Colombia,es
https://www.gbif.org/species/2476555,https://www.gbif.org/species/2476555,Lepidopyga goudoti,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Lepidopyga,goudoti,,Especie,"(Bourcier, 1843)",,es
https://www.gbif.org/species/7192829,https://www.gbif.org/species/7192829,Lepidopyga goudoti goudoti,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Lepidopyga,goudoti,goudoti,Subespecie,,subeepecie con dsitribución en el valle del río Magdalena en Colombia,es
https://www.gbif.org/species/5230528,https://www.gbif.org/species/5230528,Lepidothrix coronata,Animalia,Chordata,Aves,Passeriformes,Pipridae,Lepidothrix,coronata,,Especie,"(Spix, 1825)",,es
https://www.gbif.org/species/5230521,https://www.gbif.org/species/5230521,Lepidothrix isidorei,Animalia,Chordata,Aves,Passeriformes,Pipridae,Lepidothrix,isidorei,,Especie,"(P.L.Sclater, 1852)",,es
https://www.gbif.org/species/7060505,https://www.gbif.org/species/7060505,Lepidothrix isidorei isidorei,Animalia,Chordata,Aves,Passeriformes,Pipridae,Lepidothrix,isidorei,isidorei,Subespecie,,subespecie L. i. isidorei con distribución en la vertiente oriental de la cordillera oriental en Colombia,es
https://www.gbif.org/species/2485160,https://www.gbif.org/species/2485160,Leptasthenura andicola,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Leptasthenura,andicola,,Especie,"P.L.Sclater, 1870",,es
https://www.gbif.org/species/6171616,https://www.gbif.org/species/6171616,Leptasthenura andicola exterior,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Leptasthenura,andicola,exterior,Subespecie,"Todd, 1919",subespecie con distribución en la cordillera oriental en Colombia,es
